日期,股票代码,名称,涨跌幅
2020/3/12,'000001,上证指数,-1.517
2020/3/11,'000001,上证指数,-0.9425
2020/3/10,'000001,上证指数,1.8167
2020/3/9,'000001,上证指数,-3.0061
2020/3/6,'000001,上证指数,-1.21
2020/3/5,'000001,上证指数,1.9926
2020/3/4,'000001,上证指数,0.6271
2020/3/3,'000001,上证指数,0.7394
2020/3/2,'000001,上证指数,3.1465
2020/2/28,'000001,上证指数,-3.7116
2020/2/27,'000001,上证指数,0.1138
2020/2/26,'000001,上证指数,-0.8338
2020/2/25,'000001,上证指数,-0.5999
2020/2/24,'000001,上证指数,-0.2775
2020/2/21,'000001,上证指数,0.314
2020/2/20,'000001,上证指数,1.8402
2020/2/19,'000001,上证指数,-0.3206
2020/2/18,'000001,上证指数,0.0452
2020/2/17,'000001,上证指数,2.2837
2020/2/14,'000001,上证指数,0.3763
2020/2/13,'000001,上证指数,-0.7115
2020/2/12,'000001,上证指数,0.8693
2020/2/11,'000001,上证指数,0.387
2020/2/10,'000001,上证指数,0.505
2020/2/7,'000001,上证指数,0.3298
2020/2/6,'000001,上证指数,1.7183
2020/2/5,'000001,上证指数,1.2503
2020/2/4,'000001,上证指数,1.3355
2020/2/3,'000001,上证指数,-7.7245
2020/1/23,'000001,上证指数,-2.7518
2020/1/22,'000001,上证指数,0.2822
2020/1/21,'000001,上证指数,-1.4098
2020/1/20,'000001,上证指数,0.6598
2020/1/17,'000001,上证指数,0.046
2020/1/16,'000001,上证指数,-0.5164
2020/1/15,'000001,上证指数,-0.5402
2020/1/14,'000001,上证指数,-0.2808
2020/1/13,'000001,上证指数,0.7528
2020/1/10,'000001,上证指数,-0.0837
2020/1/9,'000001,上证指数,0.9126
2020/1/8,'000001,上证指数,-1.221
2020/1/7,'000001,上证指数,0.6938
2020/1/6,'000001,上证指数,-0.0122
2020/1/3,'000001,上证指数,-0.0458
2020/1/2,'000001,上证指数,1.1499
2019/12/31,'000001,上证指数,0.3322
2019/12/30,'000001,上证指数,1.1643
2019/12/27,'000001,上证指数,-0.0771
2019/12/26,'000001,上证指数,0.8543
2019/12/25,'000001,上证指数,-0.0268
2019/12/24,'000001,上证指数,0.6727
2019/12/23,'000001,上证指数,-1.4039
2019/12/20,'000001,上证指数,-0.402
2019/12/19,'000001,上证指数,0.0007
2019/12/18,'000001,上证指数,-0.1779
2019/12/17,'000001,上证指数,1.2743
2019/12/16,'000001,上证指数,0.5633
2019/12/13,'000001,上证指数,1.7827
2019/12/12,'000001,上证指数,-0.2981
2019/12/11,'000001,上证指数,0.2434
2019/12/10,'000001,上证指数,0.0974
